Gdp,Unemployment Rate,Month-year
1837860,7.6,2016-01-01
1832584,7.8,2016-02-01
1825855,7.7,2016-03-01
1830002,7.5,2016-04-01
1819666,7,2016-05-01
1828411,6.5,2016-06-01
1839206,7.2,2016-07-01
1843452,7.6,2016-08-01
1848118,6.5,2016-09-01
1847038,6.3,2016-10-01
1853836,6.4,2016-11-01
1858876,6.5,2016-12-01
1868964,7.2,2017-01-01
1873773,7,2017-02-01
1881584,7.3,2017-03-01
1888758,6.8,2017-04-01
1896042,6.6,2017-05-01
1899612,6.1,2017-06-01
1900773,6.6,2017-07-01
1899358,6.9,2017-08-01
1902497,5.7,2017-09-01
1905137,5.7,2017-10-01
1913640,5.5,2017-11-01
1920686,5.4,2017-12-01
1919623,6.3,2018-01-01
1927189,6.2,2018-02-01
1932480,6.3,2018-03-01
1932577,6.1,2018-04-01
1944258,6.1,2018-05-01
1946207,5.7,2018-06-01
1952354,6,2018-07-01
1954079,6.7,2018-08-01
1955253,5.5,2018-09-01
1961308,5.3,2018-10-01
1957862,5.2,2018-11-01
1956990,5.3,2018-12-01
1958988,6.2,2019-01-01
1954720,6.2,2019-02-01
1967722,6.3,2019-03-01
1976034,6,2019-04-01
1981882,5.5,2019-05-01
1986301,5.3,2019-06-01
1986641,6,2019-07-01
1985761,6.4,2019-08-01
1987927,5.1,2019-09-01
1989460,5.1,2019-10-01
1990238,5.5,2019-11-01
1995370,5.2,2019-12-01
1996386,5.9,2020-01-01
2001771,5.9,2020-02-01
1850923,8.5,2020-03-01
1646431,13.6,2020-04-01
1721600,13.8,2020-05-01
1824288,11.9,2020-06-01
1874381,11.3,2020-07-01
1894478,11.1,2020-08-01
1908984,8.5,2020-09-01
1921095,8.2,2020-10-01
1935304,8,2020-11-01
1936047,8,2020-12-01
1949593,9.8,2021-01-01
1954507,8.6,2021-02-01
1979188,8.1,2021-03-01
1962937,8.4,2021-04-01
1952806,8.4,2021-05-01
1966265,7.4,2021-06-01
1964554,7.7,2021-07-01
1972761,7.9,2021-08-01
